id_org,n,id_org_clean,id_org_short
,25,,
acces employment,3,ACCES Employment (ACCES),ACCES
achev,2,Achev (ACHEV),ACHEV
brands for canada,2,Brands for Canada (BFC),BFC
centennial college,1,CES Centennial College (CES),CES
centennial college community employment services,2,CES Centennial College (CES),CES
ces centennial college,1,CES Centennial College (CES),CES
chs,1,Canadian Hearing Services (CHS),CHS
costi,6,COSTI Immigrant Services (COSTI),COSTI
costi immigrant services,1,COSTI Immigrant Services (COSTI),COSTI
hospitality workers training centre (hwtc),1,Hospitality Workers Training Centre (HWTC),HWTC
learning enrichment foundation,2,Learning Enrichment Foundation (LEF),LEF
lec,1,Learning Enrichment Foundation (LEF),LEF
metrics vocational services,1,Metrics Vocational Services (MVS),MVS
npower,1,NPower Canada (NPC),NPC
npower canada,6,NPower Canada (NPC),NPC
npowercanada,2,NPower Canada (NPC),NPC
oasis,1,Oasis Addiction Recovery Society (OARS),OARS
oasis addiction recovery society,2,Oasis Addiction Recovery Society (OARS),OARS
pcpi,1,Progress Career Planning Institute (PCPI),PCPI
ptp adult learning and employment programs,1,PTP Adult Learning and Employment Programs (PTP),PTP
scott mission,1,The Scott Mission (SM),SM
sfc,1,Skills for Change (SFC),SFC
the learning enrichment foundation,3,Learning Enrichment Foundation (LEF),LEF
times change women's employment service,8,Times Change Women's Employment Services (TCW),TCW
tno,1,The Neighbourhood Organization (TNO),TNO
vpi,1,VPI Working Solutions (VPI),VPI
west scarborough neighbourhood community centre,1,West Scarborough Neighbourhood Community Centre (WSN),WSN
woodgre,1,Woodgreen Community Services (WG),WG
woodgreen,3,Woodgreen Community Services (WG),WG
woodgreen community services,1,Woodgreen Community Services (WG),WG
woodgreen employment services,1,Woodgreen Community Services (WG),WG
workers' health and safety legal clinic,1,Workers' Health and Safety Legal Clinic (WHSLC),WHSLC
ymca,1,YMCA of Greater Toronto (YMCA),YMCA
yonge street mission,2,Yonge Street Mission (YSM),YSM
ysm,1,Yonge Street Mission (YSM),YSM
ywca toronto,1,YWCA Toronto (YWCA),YWCA
fred victor,1,Fred Victor (FV),FV
